X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
tax_g68,tax_g18,0.007489237,0.80271312,0.018658778,0.576094354,g68,g18,genus_g__Phocaeicola,Bacteroidetes,genus_g__Ruthenibacterium,Firmicutes,genus,0.901291924,0.768125805
tax_g17,tax_g32,-0.045986821,0.104074145,-0.01399779,0.617706328,g17,g32,genus_g__Butyricicoccus,Firmicutes,genus_g__Bacteroides,Bacteroidetes,genus,0.201840767,0.796131339
tax_g68,tax_g40,0.030365126,0.316748807,0.015574647,0.621977609,g68,g40,genus_g__Phocaeicola,Bacteroidetes,genus_g__Faecalibacillus,Firmicutes,genus,0.450487192,0.796131339
tax_g50,tax_g97,-0.000669306,0.983511169,-0.012161736,0.676337656,g50,g97,genus_g__Romboutsia,Firmicutes,genus_g__Anaerotignum,Firmicutes,genus,0.983511169,0.840180541
tax_g68,tax_g46,-0.033957775,0.310982163,0.013631995,0.68264669,g68,g46,genus_g__Phocaeicola,Bacteroidetes,genus_g__Dysosmobacter,Firmicutes,genus,0.450487192,0.840180541
tax_g17,tax_g56,-0.015202774,0.571832203,0.01055469,0.713259586,g17,g56,genus_g__Butyricicoccus,Firmicutes,genus_g__Christensenella,Firmicutes,genus,0.690514358,0.861294595
tax_g50,tax_g4,-0.131449978,2.06E-05,-0.01016706,0.73632102,g50,g4,genus_g__Romboutsia,Firmicutes,genus_g__Blautia,Firmicutes,genus,0.000164878,0.872676765
tax_g25,tax_g32,-0.060883334,0.071237898,0.009619852,0.764250826,g25,g32,genus_g__Clostridium,Firmicutes,genus_g__Bacteroides,Bacteroidetes,genus,0.14707179,0.889310052
tax_g50,tax_g57,0.078955572,0.011972704,0.008523148,0.781537101,g50,g57,genus_g__Romboutsia,Firmicutes,genus_g__Odoribacter,Bacteroidetes,genus,0.040329109,0.893185258
tax_g50,tax_g32,-0.002701285,0.933107314,-0.00759799,0.801735711,g50,g32,genus_g__Romboutsia,Firmicutes,genus_g__Bacteroides,Bacteroidetes,genus,0.979019128,0.900194483
tax_g50,tax_g41,0.016875416,0.541648616,-0.005157487,0.86733399,g50,g41,genus_g__Romboutsia,Firmicutes,genus_g__Gordonibacter,Actinobacteria,genus,0.67971591,0.933448561
tax_g25,tax_g60,-0.064988315,0.04857507,0.004973782,0.881016534,g25,g60,genus_g__Clostridium,Firmicutes,genus_g__Bilophila,Proteobacteria,genus,0.119569403,0.933448561
tax_g25,tax_g18,0.067254999,0.030303737,-0.003944488,0.905847949,g25,g18,genus_g__Clostridium,Firmicutes,genus_g__Ruthenibacterium,Firmicutes,genus,0.084323443,0.933448561
tax_g17,tax_g54,-0.049809551,0.081302749,-0.00333451,0.907526251,g17,g54,genus_g__Butyricicoccus,Firmicutes,genus_g__Parabacteroides,Bacteroidetes,genus,0.162605497,0.933448561
tax_g50,tax_g15,0.131474071,4.22E-05,0.003362197,0.91495757,g50,g15,genus_g__Romboutsia,Firmicutes,genus_g__Alistipes,Bacteroidetes,genus,0.000300418,0.933448561
tax_g50,tax_g128,0.033732753,0.208651971,-0.003227785,0.918863428,g50,g128,genus_g__Romboutsia,Firmicutes,genus_g__GGB9602,Firmicutes,genus,0.317945861,0.933448561
tax_g50,tax_g29,0.21287694,2.12E-13,-0.00110361,0.970793139,g50,g29,genus_g__Romboutsia,Firmicutes,genus_g__Oscillibacter,Firmicutes,genus,1.36E-11,0.970793139
bac_g114,bac_g45,-0.032099816,0.138669424,-0.154318071,7.72E-11,g114,g45,16S_g__Lachnoclostridium,Firmicutes,16S_g__Christensenellaceae_R-7_group,Firmicutes,16S,0.226913602,4.02E-09
bac_g114,bac_g17,-0.058210237,0.005506673,-0.144928619,1.28E-10,g114,g17,16S_g__Lachnoclostridium,Firmicutes,16S_g__UCG-005,Firmicutes,16S,0.02205383,4.02E-09
bac_g114,bac_g28,-0.065420201,0.001700767,-0.144895474,1.34E-10,g114,g28,16S_g__Lachnoclostridium,Firmicutes,16S_g__UCG-002,Firmicutes,16S,0.00900406,4.02E-09
bac_g68,bac_g45,0.064004224,0.001643857,0.138970628,6.28E-10,g68,g45,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Christensenellaceae_R-7_group,Firmicutes,16S,0.00900406,1.41E-08
bac_g114,bac_g129,-0.057837911,0.008076454,-0.111471043,4.37E-07,g114,g129,16S_g__Lachnoclostridium,Firmicutes,16S_g__Colidextribacter,Firmicutes,16S,0.030286701,7.87E-06
bac_g68,bac_g143,0.006601384,0.732502921,0.107826503,6.28E-07,g68,g143,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__UCG-010,Firmicutes,16S,0.824065786,9.42E-06
